company_name,industry,linkedin_url,website,description,company_size,location,email,phone,fit_score,fit_reason,source,address,rating,total_reviews,icebreaker,sheets_row,status,session_id,contacts,icp_match_score,icp_match_reason
Ajay Apparels,Apparel Manufacturing,https://in.linkedin.com/company/ajay-apparels,,"Homegrown Indian B2B, B2C and D2C clothing manufacturing entity founded in 1991 specializing in high-quality garments for fashion brands and retailers.",85 followers,,,,85,Ajay Apparels is an apparel manufacturer that closely matches the target customer for AI-powered sorting automation in clothing production workflows.,yahoo_linkedin,,,,,,pending,357b219d-5ff0-4d84-9313-c45da5b348ee,[],,
Apparel Manufacturing,Apparel & Promotional Products,https://www.linkedin.com/company/apparel-manufacturing,,"A third-generation, family owned and operated business providing branded apparel and promotional products across industries.",,,,,65,"Operates in apparel production, aligning with clothing workflow automation but primarily focused on branded and promotional products rather than manufacturing efficiency.",yahoo_linkedin,,,,,,pending,357b219d-5ff0-4d84-9313-c45da5b348ee,[],,
Arvind Limited,Textiles & Apparel,https://www.linkedin.com/company/arvindlimited,,A US $1 billion textile company creating opportunities beyond conventional boundaries.,"254,201 followers",,,,85,Arvind Limited operates in textile and clothing production where AI-powered sorting automation can directly enhance efficiency and quality.,yahoo_linkedin,,,,,,pending,357b219d-5ff0-4d84-9313-c45da5b348ee,[],,
JYOTI COLLECTION,"Apparel, Fashion and Clothing",https://in.linkedin.com/company/jyoti-collection_akola,,"House of readymade garments specializing in apparels, fashion, and clothing.",23 followers,,,,75,"The company operates in apparel manufacturing where AI sorting automation can improve workflow efficiency, making it a good industry match.",yahoo_linkedin,,,,,,pending,357b219d-5ff0-4d84-9313-c45da5b348ee,[],,
Shahi Exports Pvt. Ltd.,Apparel Manufacturing & Export,https://in.linkedin.com/company/shahi-exports-pvt-ltd-,,One of India’s leading vertically integrated manufacturers and exporters of ready-to-wear apparels with 48 state-of-the-art facilities.,,,,,90,"As a large apparel manufacturer, Shahi Exports closely aligns with the target audience for AI-powered sorting automation in clothing production workflows.",yahoo_linkedin,,,,,,pending,357b219d-5ff0-4d84-9313-c45da5b348ee,[],,
"IGB PVT LTD, PUNE",Fashion & Accessories Manufacturing,https://in.linkedin.com/company/dyanamic-fashion-private,,Internacia India Marketing Private Limited — a manufacturing company in fashion and accessories sector.,"3,576 followers",,,,85,"This company operates in fashion and accessories manufacturing, closely matching the target customer profile for AI-powered clothing production automation.",yahoo_linkedin,,,,,,pending,357b219d-5ff0-4d84-9313-c45da5b348ee,[],,
The Clothing Manufacturers Association Of India (CMAI),Apparel Industry Association,https://www.linkedin.com/company/clothing-manufacturers,,"Membership organization with over 20,000 companies including readymade garment manufacturers, exporters, retailers, and ancillary industries.","20,000+ member companies",,,,65,"Industry association for clothing manufacturers with broad connections but not a direct producer, making it a good strategic but indirect fit.",yahoo_linkedin,,,,,,pending,357b219d-5ff0-4d84-9313-c45da5b348ee,[],,
ApparelMagic,Apparel software / ERP solutions,https://www.linkedin.com/company/apparelmagic---apparel,,"Provides cutting-edge apparel manufacturing and management software, training, and support for fashion businesses.",,,,,65,"Operates in apparel manufacturing software, aligning with clothing production workflows but not directly focused on sorting automation.",yahoo_linkedin,,,,,,pending,357b219d-5ff0-4d84-9313-c45da5b348ee,[],,
Polygon Software,"ERP, PLM, and CAD solutions for apparel manufacturers",https://www.linkedin.com/company/polygon-software,,"Global provider of ERP, PLM, and CAD software solutions for apparel manufacturers, sewn-goods businesses, and textile mills.",,,,,65,Serves apparel manufacturers and related industries where AI sorting automation could complement existing ERP and PLM solutions.,yahoo_linkedin,,,,,,pending,357b219d-5ff0-4d84-9313-c45da5b348ee,[],,
N41,Apparel ERP software,https://www.linkedin.com/company/n41,,Leading apparel ERP software solution provider offering innovative features and services for fashion and manufacturing companies.,,,,,65,"Operates in the apparel manufacturing software space, aligning with clothing production workflows though focused more on ERP than automation.",yahoo_linkedin,,,,,,pending,357b219d-5ff0-4d84-9313-c45da5b348ee,[],,
